Coverage ErrorRate EditDis n Freq
100 0 0 1 56014
100 0 0 2 78648
100 0 0 3 72472
100 0 0 4 50060
100 0 0 5 27408
100 0 0 6 12859
100 0 0 7 5064
100 0 0 8 1818
100 0 0 9 540
100 0 0 10 176
100 0 0 11 24
100 0 0 12 13
100 0 2 1 669
100 0 2 2 2785
100 0 2 3 7391
100 0 2 4 15472
100 0 2 5 25955
100 0 2 6 36668
100 0 2 7 43316
100 0 2 8 44925
100 0 2 9 42530
100 0 2 10 34860
100 0 2 11 26226
100 0 2 12 18007
100 0 2 13 11543
100 0 2 14 7181
100 0 2 15 3859
100 0 2 16 2119
100 0 2 17 943
100 0 2 18 375
100 0 2 19 179
100 0 2 20 100
100 0 2 21 31
100 0 2 22 12
100 0 4 1 4
100 0 4 2 30
100 0 4 3 133
100 0 4 4 448
100 0 4 5 1320
100 0 4 6 2880
100 0 4 7 6165
100 0 4 8 10314
100 0 4 9 15859
100 0 4 10 22173
100 0 4 11 28138
100 0 4 12 32720
100 0 4 13 34196
100 0 4 14 35154
100 0 4 15 31808
100 0 4 16 27522
100 0 4 17 22602
100 0 4 18 17506
100 0 4 19 12894
100 0 4 20 8908
100 0 4 21 5958
100 0 4 22 3601
100 0 4 23 2276
100 0 4 24 1267
100 0 4 25 679
100 0 4 26 349
100 0 4 27 163
100 0 4 28 84
100 0 4 29 35
100 0 4 30 22
100 0 4 31 14
100 0 6 4 7
100 0 6 5 37
100 0 6 6 89
100 0 6 7 256
100 0 6 8 540
100 0 6 9 1224
100 0 6 10 2362
100 0 6 11 4377
100 0 6 12 7129
100 0 6 13 10716
100 0 6 14 14898
100 0 6 15 18929
100 0 6 16 22698
100 0 6 17 26469
100 0 6 18 29326
100 0 6 19 29635
100 0 6 20 29328
100 0 6 21 26399
100 0 6 22 23696
100 0 6 23 19818
100 0 6 24 15806
100 0 6 25 12555
100 0 6 26 9521
100 0 6 27 6769
100 0 6 28 4772
100 0 6 29 3177
100 0 6 30 1984
100 0 6 31 1131
100 0 6 32 779
100 0 6 33 379
100 0 6 34 220
100 0 6 35 114
100 0 6 36 27
100 0 6 37 30
100 0 6 38 12
100 0 6 39 7
100 0 6 41 6
100 0.1 0 1 57474
100 0.1 0 2 77610
100 0.1 0 3 69296
100 0.1 0 4 45550
100 0.1 0 5 24894
100 0.1 0 6 11207
100 0.1 0 7 4160
100 0.1 0 8 1323
100 0.1 0 9 470
100 0.1 0 10 110
100 0.1 0 11 24
100 0.1 2 1 2648
100 0.1 2 2 5394
100 0.1 2 3 10634
100 0.1 2 4 18025
100 0.1 2 5 28499
100 0.1 2 6 37730
100 0.1 2 7 43636
100 0.1 2 8 43909
100 0.1 2 9 39438
100 0.1 2 10 32676
100 0.1 2 11 23499
100 0.1 2 12 16075
100 0.1 2 13 9950
100 0.1 2 14 5951
100 0.1 2 15 3157
100 0.1 2 16 1719
100 0.1 2 17 983
100 0.1 2 18 341
100 0.1 2 19 122
100 0.1 2 20 24
100 0.1 2 21 12
100 0.1 2 22 8
100 0.1 2 25 6
100 0.1 4 1 19
100 0.1 4 2 137
100 0.1 4 3 385
100 0.1 4 4 972
100 0.1 4 5 2134
100 0.1 4 6 4196
100 0.1 4 7 7642
100 0.1 4 8 12126
100 0.1 4 9 17816
100 0.1 4 10 23973
100 0.1 4 11 29384
100 0.1 4 12 32785
100 0.1 4 13 35226
